Car,Year,Price,Color,Fuel,Origin,License,Gear,Glass,Power,Meter,Passengers,Payment,Previous_owners,Condition,Central_locking,Alarm,Radio,Sunroof,Magnesium_wheels,Leather_seats,Airbag,For_sale,For_exchange
Chevrolet,2007,28000,ذهبي,1,تأجير,1,2,1,1600,3,5,1,2,1,1,0,1,0,0,0,1,1,0
Hyundai,2008,42000,أسود,1,خصوصي,1,2,1,1400,4,5,0,3,1,1,1,1,1,1,1,1,1,1
Kia,2009,44500,أسود,1,خصوصي,1,2,1,1600,3,5,0,3,1,1,1,1,1,1,1,1,1,1
Opel,1997,33000,ذهبي,1,خصوصي,1,2,1,2500,2,5,0,2,1,1,1,1,1,1,1,1,1,0
Kia,2008,59500,أسود,1,خصوصي,1,2,1,1600,3,5,0,3,1,1,1,1,1,1,1,1,1,1
Kia,2007,3800,أبيض عاجي,0,عمومي,1,0,1,1500,0,5,1,4,1,1,1,1,0,1,0,1,1,0
Opel,1999,28500,أخضر,1,تأجير,1,0,1,1400,3,5,1,2,1,1,0,1,0,0,0,1,1,0
Skoda,2009,55000,أبيض عاجي,0,عمومي,1,0,1,1900,4,5,1,2,1,1,1,1,0,1,1,1,1,0
Hyundai,2006,30000,أزرق سماوي,0,عمومي,1,0,1,1999,3,5,1,2,1,0,0,1,1,0,0,0,1,0
Volkswagen,1998,38000,أزرق سماوي,1,خصوصي,1,2,1,1800,2,5,0,2,1,1,1,1,0,0,1,1,1,1
Skoda,2007,50000,فيراني,0,عمومي,1,0,1,1900,1,5,0,2,1,1,1,1,0,1,1,1,1,1
Renault,1988,14500,سكني,1,خصوصي,1,0,1,1400,3,5,0,2,0,1,0,0,0,1,0,0,1,0
Hyundai,2013,67000,خمري,1,خصوصي,1,2,1,1400,3,5,0,3,1,1,1,1,0,1,1,1,1,0
Opel,2013,54000,فيراني,1,خصوصي,1,0,0,1400,4,5,1,1,1,1,0,1,0,1,0,1,1,0
Daewoo,1999,23000,أسود,1,خصوصي,1,2,1,1800,3,5,0,2,0,0,0,0,0,0,0,0,1,0
Kia,2011,89500,فضي,0,خصوصي,1,2,1,2000,3,5,0,1,1,1,1,1,0,1,1,1,1,1
Skoda,2008,60000,رمادي,0,خصوصي,1,0,1,1900,3,5,0,2,1,1,0,1,0,1,0,1,1,0
Volkswagen,2010,78000,أسود,1,خصوصي,1,0,1,1400,3,5,1,2,1,1,1,1,0,1,0,1,1,1
Skoda,2008,63000,أبيض,0,خصوصي,1,0,1,1900,0,5,0,4,1,1,1,0,0,1,0,1,1,0
Isuzu,1999,59000,ذهبي,0,خصوصي,1,0,1,3000,0,7,1,5,1,1,0,1,0,1,1,1,1,1
Hyundai,2008,41000,أحمر,1,خصوصي,1,2,1,1600,2,5,0,4,0,1,1,1,0,1,0,1,1,1
Opel,1984,11000,فضي,1,خصوصي,1,0,0,1300,3,5,0,4,0,0,0,0,0,0,0,0,1,0
Skoda,2007,60500,سكني,0,عمومي,1,0,1,1900,3,5,1,2,0,0,1,1,0,1,0,0,1,0
Volkswagen,2014,105000,فيراني,0,خصوصي,1,0,1,1600,3,7,0,0,1,1,1,1,0,1,0,1,1,1
Seat,2014,58000,أسود,1,خصوصي,1,0,1,1200,3,5,1,1,1,1,0,1,0,1,0,1,0,1
Fiat,2004,33000,أبيض,0,عمومي,1,0,1,1900,3,5,0,2,0,0,0,1,0,1,0,0,1,0
Daewoo,2002,26999,أبيض,1,خصوصي,1,0,1,1500,3,5,0,2,1,1,0,1,0,0,0,1,1,0
Kia,2014,52000,رصاصي,1,خصوصي,1,2,1,1100,4,5,0,0,1,0,1,1,0,0,0,0,1,0
Hyundai,2014,135000,أبيض عاجي,0,خصوصي,1,2,1,2000,3,5,0,1,1,1,1,1,1,1,1,1,1,1
Peugeot,2007,28000,فضي,1,خصوصي,1,2,1,1600,2,5,0,4,1,1,0,1,0,0,0,1,1,0
Chevrolet,2011,39000,أزرق سماوي,1,خصوصي,1,2,1,1600,3,5,1,2,1,1,1,1,0,0,0,1,1,1
Ford,2005,45000,أبيض عاجي,0,تجاري,1,0,1,1850,4,5,0,2,1,1,1,1,0,0,0,1,1,0
Volkswagen,2007,72500,بني,0,خصوصي,1,1,1,2000,3,5,0,2,1,1,1,1,0,1,0,1,1,0
Hyundai,2002,35000,ذهبي,1,خصوصي,1,0,1,1500,0,5,1,2,1,1,1,1,0,1,0,1,1,1
Skoda,2014,120000,أزرق,0,خصوصي,1,2,1,1600,3,5,1,1,1,1,1,1,1,1,1,1,1,0
Hyundai,2013,58000,سكني,1,خصوصي,1,1,1,1400,3,5,0,2,1,0,0,0,0,0,0,0,1,0
Opel,1997,26000,أبيض,1,خصوصي,1,0,1,1600,3,5,0,2,1,0,0,1,0,0,0,0,1,0
Hyundai,2015,89000,أبيض عاجي,0,خصوصي,1,2,1,2000,3,6,0,0,1,1,1,1,0,1,1,1,1,0
Skoda,2001,37000,فضي,0,عمومي,1,0,1,1900,0,5,0,3,1,1,1,1,1,1,1,1,1,1
Daewoo,2000,30000,زيتي,1,خصوصي,1,0,0,1600,3,6,1,6,1,0,0,1,0,1,0,1,1,1
Toyota,1998,44000,بنفسجي,1,خصوصي,1,0,1,1600,3,5,1,2,1,1,0,1,0,1,1,1,1,0
Hyundai,2014,143000,بترولي,0,خصوصي,1,1,1,2000,4,7,1,1,1,1,1,1,1,1,1,1,1,0
Seat,2015,73000,بني,1,خصوصي,1,0,1,1200,3,5,1,2,1,1,1,1,0,1,0,1,1,0
Hyundai,2013,145000,سكني,0,خصوصي,1,2,1,2200,0,7,1,1,1,1,1,1,0,1,1,1,1,1
Volkswagen,2007,70000,فيراني,1,خصوصي,1,2,1,1600,2,5,1,2,1,1,0,1,0,1,0,1,1,0
Opel,2003,33000,أبيض,1,خصوصي,1,2,0,1400,2,5,0,4,0,0,0,0,0,1,0,0,1,0
Hyundai,2009,46499,فضي,1,خصوصي,1,2,1,1400,3,6,0,5,1,1,1,1,0,1,0,1,1,0
Peugeot,2011,62000,أبيض,0,تجاري,1,0,1,1600,3,5,1,2,1,1,0,1,0,0,1,1,1,0
Hyundai,2013,56000,أزرق,1,خصوصي,1,0,1,1400,2,5,1,1,1,1,1,1,0,0,0,1,1,1
Volkswagen,1996,23000,أبيض,1,خصوصي,1,0,0,1900,0,5,1,4,1,1,1,1,0,0,1,1,1,1
Seat,2014,70000,أزرق,1,خصوصي,1,0,1,1200,3,5,0,1,1,1,0,1,0,1,0,1,1,0
Subaru,1986,24000,أبيض,1,عمومي,1,0,0,1600,3,5,0,7,1,1,1,1,0,1,0,0,1,0
Toyota,1993,27500,زيتي,1,خصوصي,1,0,1,1600,4,5,0,2,1,0,0,1,0,1,1,1,1,1
Hyundai,2014,66000,فضي,0,خصوصي,1,2,1,1600,3,5,0,2,1,1,1,0,0,1,1,1,1,0
Hyundai,2008,48000,سكني,1,خصوصي,1,2,1,1400,3,5,0,2,1,1,1,1,0,1,1,1,1,0
Hyundai,2015,108000,أبيض عاجي,0,خصوصي,1,2,1,2000,4,6,0,0,1,1,1,1,1,1,1,1,1,0
Hyundai,2013,64000,ذهبي,1,خصوصي,1,2,1,1400,3,5,1,2,1,1,0,1,0,1,1,1,1,1
Subaru,1983,6000,أبيض عاجي,1,خصوصي,1,0,0,1300,3,5,0,2,0,0,0,0,0,0,0,0,1,1
Opel,2013,68000,أبيض,1,خصوصي,1,2,1,1400,3,5,0,1,1,1,1,1,0,0,0,1,1,0
Seat,1988,8000,أحمر,1,خصوصي,1,0,0,1500,3,5,1,1,1,0,0,0,0,1,0,0,1,0
Peugeot,2008,65000,سكني,0,خصوصي,1,0,1,1600,3,5,0,2,1,0,1,1,1,0,1,1,1,0
Volkswagen,2003,52000,أزرق,1,خصوصي,1,0,1,1600,3,5,1,2,1,1,1,1,0,1,1,1,1,1
Seat,2010,53000,أبيض عاجي,1,خصوصي,1,0,1,1400,3,5,1,2,1,1,1,1,1,1,1,1,1,0
BMW,2007,92000,أسود,1,خصوصي,1,2,1,2000,3,5,0,2,1,1,0,1,1,1,0,1,1,0
Hyundai,2013,90000,فضي,0,خصوصي,1,1,1,2000,3,5,0,2,1,1,1,1,0,1,1,1,1,0
Hyundai,2006,38000,أزرق سماوي,1,خصوصي,1,0,0,1400,3,5,0,2,1,1,0,1,0,1,0,1,1,0
Toyota,1996,8000,كحلي,0,خصوصي,0,0,1,2500,4,5,0,1,0,0,0,0,0,0,0,0,1,0
Hyundai,2014,85000,فيراني,1,خصوصي,1,2,1,2000,4,5,0,0,1,1,0,1,1,1,0,1,1,0
